Country,Particulate matter (PM2.5)  (in μg/m3) WHO-Guideline=5
Bangladesh,54.17
India,41.39
Nepal,39.18
Qatar,39.16
Pakistan,38.9
Democratic Republic of the Congo,34.2
Burundi,34.04
Rwanda,33.37
Equatorial Guinea,32.87
Cameroon,32.58
Republic of the Congo,31.94
Iraq,32.42
Mongolia,30.1
Bolivia,29.63
Myanmar,28.64
China,28.18
Lesotho,27.87
Uganda,27.81
Saudi Arabia,27.5
El Salvador,27.43
Gabon,25.65
Peru,25.48
Guatemala,25.13
Nigeria,25.02
Central African Republic,24.99
Honduras,24.52
Bosnia and Herzegovina,23.93
Vietnam,23.58
Laos,23.53
South Africa,23.26
Chile,22.84
Syria,22.82
Bhutan,22.78
Bahrain,22.75
Zambia,22.18
Kuwait,21.77
Thailand,21.15
Turkey,21.1
Angola,21.07
South Korea,20.82
United Arab Emirates,20.71
Jordan,19.7
Armenia,19.51
Philippines,19.17
Egypt,19.16
Sri Lanka,19.13
North Macedonia,19.02
Bulgaria,18.86
Iran,18.8
Uzbekistan,18.64
Lebanon,18.62
North Korea,18.6
Djibouti,18.43
Ecuador,18.32
Indonesia,18.25
Tanzania,18.17
Malawi,17.61
Benin,17.31
Republic of China,17.29
Tajikistan,17.08
Afghanistan,16.98
Serbia,16.95
Cambodia,16.94
Ethiopia,16.94
Yemen,16.76
Kenya,16.47
Eswatini,16.38
Colombia,16.23
South Sudan,15.97
Zimbabwe,15.97
Mexico,15.64
Togo,15.64
Montenegro,15.09
Cyprus,14.68
Nicaragua,14.62
Northern Cyprus,14.51
Namibia,14.49
Papua New Guinea,14.45
Eritrea,14.43
Israel,14.32
Croatia,14.15
Poland,14.09
Palestine,13.99
Singapore,13.89
Ghana,13.73
Romania,13.67
Georgia,13.65
San Marino,13.51
Oman,13.44
Malaysia,13.31
Paraguay,13.23
Jamaica,13.17
Italy,13.11
Mozambique,12.7
Costa Rica,12.63
Albania,12.6
Greece,12.56
Botswana,12.47
Argentina,12.44
Slovenia,12.32
Latvia,12.14
Slovakia,12.1
Kyrgyzstan,12.09
Brazil,12.06
Kazakhstan,12.01
Venezuela,11.96
Hungary,11.93
Azerbaijan,11.87
Czech Republic,11.49
Moldova,11.49
Chad,11.27
Japan,11.26
Vatican City,11.1
Timor-Leste,10.96
Liechtenstein,10.82
Ukraine,10.81
Niger,10.56
Ivory Coast,10.45
Turkmenistan,10.38
São Tomé and Príncipe,10.28
Sudan,10.18
Tunisia,10.18
Haiti,9.92
Monaco,9.9
Belize,9.89
Sierra Leone,9.87
Belarus,9.84
Guinea,9.82
Madagascar,9.7
Panama,9.65
Lithuania,9.53
Austria,9.52
Liberia,9.39
Russia,9.3
Uruguay,9.08
Somalia,8.9
Libya,8.89
Belgium,8.82
Switzerland,8.73
Andorra,8.72
Burkina Faso,8.66
Germany,8.51
Netherlands,8.49
France,8.45
United Kingdom,8.28
Maldives,8.2
Mayotte,8.15
Cayman Islands,8.0
Luxembourg,8.0
Guinea-Bissau,7.94
Dominican Republic,7.86
Spain,7.5
Gibraltar,7.3
Malta,7.16
Guyana,7.15
Denmark,7.08
Morocco,7.06
Solomon Islands,7.02
Comoros,6.99
United States,6.91
Gambia,6.86
Mali,6.63
Cuba,6.34
Brunei,6.33
Algeria,6.14
Suriname,6.05
Canada,6.04
Portugal,5.67
Senegal,5.67
Mauritius,5.65
Estonia,5.61
French Guiana,5.53
Ireland,5.41
Vanuatu,5.12
Seychelles,4.96
Norway,4.88
Sweden,4.86
Western Sahara,4.84
Finland,4.37
Trinidad and Tobago,3.9
Curaçao,3.7
New Zealand,3.69
Mauritania,3.51
Aruba,3.4
Australia,3.36
Fiji,3.23
Bahamas,3.11
Iceland,2.9
Bermuda,2.8
Réunion,2.74
Martinique,2.72
Faroe Islands,2.61
Falklands,2.6
Palau,2.4
Saint Kitts and Nevis,2.4
Dominica,2.34
Puerto Rico,2.21
Grenada,2.19
Cape Verde,2.18
Saint Vincent and the Grenadines,2.15
Saint Lucia,2.02
Barbados,2.0
Tonga,1.98
Antigua and Barbuda,1.79
US Virgin Islands,1.75
Samoa,1.69
Tuvalu,1.56
British Virgin Islands,1.52
French Polynesia,1.4
American Samoa,1.4
Guam,1.19
Nauru,1.18
Cook Islands,1.13
Greenland,1.11
Marshall Islands,1.02
Federated States of Micronesia,0.94
Kiribati,0.9
