Name,Average Sleep Quality (0-1),Average Sleep Duration (Hours),Average Snore Duration (Minutes)
Italy,0.7486682951500879,7.38,52.83
Switzerland,0.7676812535348072,7.49,42.45
United Kingdom,0.780649686520754,7.67,46.21
Austria,0.763325385442557,7.47,45.16
Israel,0.7355701689051373,7.24,37.35
Latvia,0.7576490123666362,7.31,42.6
Luxembourg,0.7617856847109032,7.48,60.77
Namibia,0.74494606283884,7.36,39.11
Brazil,0.7356180839790353,7.21,35.35
Germany,0.7622064324940976,7.46,48.55
Malaysia,0.7107771411229222,6.95,50.74
Philippines,0.7306642109145447,7.2,52.33
Bulgaria,0.7616995172453419,7.55,39.76
Canada,0.7757241745509005,7.64,44.87
Slovakia,0.7632013860331223,7.46,41.62
Peru,0.708147393234093,7.02,29.98
"Taiwan, Province of China",0.7112729536451587,6.94,54.85
United Arab Emirates,0.7542048560190685,7.34,33.43
New Zealand,0.8037547887455292,7.87,48.69
Ireland,0.7642367274269771,7.53,43.83
Singapore,0.7305163735598229,7.12,54.03
South Africa,0.779740047931374,7.62,52.07
Croatia,0.740831603836947,7.36,40.69
Australia,0.7952665289082855,7.82,43.16
Ecuador,0.7298904381430215,7.32,29.73
Costa Rica,0.7480896542827157,7.33,38.37
Greece,0.7344531624543468,7.54,55.64
Chile,0.7563753445605109,7.48,49.45
Morocco,0.6871405912170719,6.85,21.98
Japan,0.6731949274894211,6.7,54.26
Poland,0.7525715163647226,7.34,40.56
Norway,0.7619356216498323,7.44,43.73
India,0.704141425359602,6.9,38.15
"Korea, Republic of",0.6883246805866238,6.74,53.69
Belgium,0.7711900752115144,7.59,47.02
Romania,0.7517848587491777,7.29,46.34
Denmark,0.7760220862390667,7.55,51.22
Argentina,0.7367448239313799,7.3,34.37
Sweden,0.7743971987222463,7.54,52.4
Viet Nam,0.714397836080537,7.02,34.58
Finland,0.7839370898534602,7.66,52.05
Ukraine,0.7730721135828785,7.54,41.18
Mexico,0.7263617046890186,7.12,42.93
Egypt,0.6941165487625512,6.85,22.27
Turkey,0.7324290986252692,7.25,51.69
Netherlands,0.7878704724124723,7.73,42.98
Portugal,0.7511797054480802,7.48,42.91
Hungary,0.7583861363166495,7.4,43.61
Russian Federation,0.7611268172811326,7.41,34.28
France,0.7673091417816986,7.59,46.68
Colombia,0.7159287658934991,7.08,23.33
Thailand,0.741558734804755,7.23,41.27
Hong Kong,0.7304672550123981,7.13,57.84
Saudi Arabia,0.7223554911412817,6.97,29.3
China,0.7358257508161358,7.22,58.47
Cyprus,0.7569383392007775,7.48,50.27
Lithuania,0.7723941902851433,7.46,38.67
United States,0.7695099636787335,7.56,42.06
Spain,0.74899044525664,7.46,44.85
Indonesia,0.7428848846657335,7.34,39.82
Czech Republic,0.7655979695455948,7.46,46.05
Estonia,0.7760576765002314,7.59,41.9
